,area,eccentricity,perimeter,euler_number,orientation,solidity,area_bbox,area_convex,axis_major_length,axis_minor_length,firs_hu_moment,second_hu_moment,discrete_compactness,discrete_tortuosity,label
40,1801064.0,0.85778801272863525185,8469.136069761290855,-3.0,1.5648417588325440608,0.90884199679771993097,2773524.0,1981713.0,2159.9351437849963986,1110.2144909514026949,0.0008489666625874107628,7.06756364660334977e-08,0.9995692408182028643,0.5264699918897000064,1.0
41,2024687.0,0.88373802481918661833,8399.677267045743065,0.0,1.5241197569596445227,0.9331292268071170737,3064696.0,2169782.0,2380.2469156462957471,1113.9125878850456957,0.00094729329471168852335,8.9518021762080801554e-08,0.999665390022027589,0.5216445893621357577,1.0
42,2101982.0,0.88827776693935955876,16807.617377314141777,-62.0,1.517653757636641787,0.88985514117998676387,3163842.0,2362162.0,2468.2160531557074137,1133.6680737926560596,0.00083605603388660831507,6.4684895543524382315e-08,0.9986898163217790003,0.52999378012750741895,1.0
43,1127792.0,0.8406358815660909256,5415.3733008770277593,-2.0,1.5034563948137129596,0.95076121291621384923,1669619.0,1186199.0,1649.3182514812369845,893.27191401781965396,0.0007831321617090614747,6.026920353387789559e-08,0.999740960299922099,0.51810188189487349497,1.0
44,1366410.0,0.84442212238677116787,7618.9624048449832117,-4.0,1.4475100566033651805,0.94444444444444441977,1962450.0,1474203.0,1834.7023055107117671,982.81027732484756143,0.0007778803016976530791,5.887899208849160139e-08,0.9994611350725953747,0.52615384615384619416,1.0
45,1312520.0,0.88513715553823679727,6500.119692370364646,-5.0,1.5677230031210900307,0.93305826602383190593,2061063.0,1406686.0,1931.4921836308055845,898.7816873869921892,0.00077975782267458932165,5.88670309404740783e-08,0.99963444666151890505,0.51486199575371549564,1.0
46,1350807.0,0.89107965809741940255,6610.2862146117349766,-7.0,-1.5491151302014301017,0.9423605912814656538,2054636.0,1433429.0,1974.9835460957442592,896.34023454556199795,0.0007999593070636618671,6.198795553041925234e-08,0.99963669749291861333,0.5190253565768621069,1.0
47,1426970.0,0.84690835034745048926,6607.772362537751178,-3.0,1.5238970952836514705,0.9346748743369694967,2064400.0,1526702.0,1883.9235854102284975,1001.7554343321318129,0.0008082653081823532948,6.373772010896321976e-08,0.99967920292251277736,0.51908437583178068664,1.0
48,1337513.0,0.9031530262951598109,6623.4090142517097775,-1.0,1.5374165011036977635,0.92890201029803742827,1990598.0,1439886.0,2024.6959532191588096,869.23998762476048796,0.0007778227131957918738,5.9700977665903748366e-08,0.9996263397634413961,0.51773864216436948915,1.0
49,1506320.0,0.8927549608994153063,6603.7765466198561626,-4.0,-1.5390764960675074047,0.9558705013510065962,2166015.0,1575862.0,2095.988470439653156,944.3319679796051105,0.00082301500101343105873,6.4761046412039125695e-08,0.9997185410211831824,0.51672523554876492735,1.0
